Title,Location,lat,lon,Facility
Associate Masters Mental Health Professional Adult Team,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Financial Planning & Analysis Analyst III,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Service Representative - Ambulatory Service,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Housekeeping Aide,"Salinas, California",36.6744117,-121.655037,Kaiser Permanente
Lvl III Staff RN (Hospital),"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Cook II,"Hillsboro, Oregon",45.5228939,-122.989827,Kaiser Permanente
Radiation Therapist - 40 hours,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Radiation Therapist - On Call,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Staff RN - Med/Surg Telemetry - Full Time Nights,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Sp Unit Staff RN - Hospital - DOU - Per Diem Night,"Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
Administrative Coordinator III,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Specialty Unit Staff RN - Hospital - ICU - Per Diem Night,"Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
"Case Manager Utilization RN, 40/hr Day","San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Staff RN - Hospital - Med/Surg Telemetry,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Staff RN - Hospital - Med/Surg/Tele/Stroke - Per Diem Day,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Surgical Technologist,"Tacoma, Washington",47.2455013,-122.438329,Kaiser Permanente
Staff RN - Hospital  - Med/Surg/Tele - Per Diem Night,"Irvine, California",33.6856969,-117.8259819,Kaiser Permanente
Certified Nurse Assistant,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
QRM & Patient Transition Manager,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Communication Operator,"Fresno, California",36.7394421,-119.78483,Kaiser Permanente
Patient Care Technician,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Physician Assistant II,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Specialty Unit Staff RN - Hospital,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Medical Office Assistant II,"Austell, Georgia",33.8126059,-84.6343783,Kaiser Permanente
Housekeeping Aide,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Medical Assistant Bilingual Spanish - LA - On Call Days,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
"Specialist II, Professional Coder","Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Storekeeper,"Fremont, California",37.5482697,-121.988571,Kaiser Permanente
Intermediate Clerk,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Medical Social Worker II - Home Health  - PRN,"San Jose, California",37.3382,-121.8863,Kaiser Permanente
Administrative Coordinator IV,"Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
NW REG ADMIN-WORKFORCE/STAFFING SPEC - Call-in/On-Call,"Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Speech Therapist I- Outpatient Pediatrics -Santa Clara/Milpitas,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
"Senior Occupational Therapist, Advanced Hand Therapy","San Jose, California",37.3382,-121.8863,Kaiser Permanente
Physical Therapist- Pelvic Health Specialty,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Psychologist,"Vacaville, California",38.3565773,-121.9877444,Kaiser Permanente
Government Relations Counsel III,"Washington D.C., District of Columbia",38.8950368,-77.0365427,Kaiser Permanente
Licensed Masters Mental Health Professional-Addiction Medicine,"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Staff Nurse II L&D 28/Night Walnut Creek,"Walnut Creek, California",37.9020731,-122.0618702,Kaiser Permanente
Staff RN (Hospital) - MV,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Staff RN (Hospital) - MV,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
MRI Technologist,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Lvl III Staff RN (Hospital),"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Lvl III Staff RN (Hospital),"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
Lvl III Staff RN (Hospital),"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
"Sonographer, Diagnostic Cardiac, Longview, Days, 40 hours","Longview, Washington",46.1382,-122.9382,Kaiser Permanente
Polysomnographic Technologist,"Martinez, California",38.0138934,-122.1338674,Kaiser Permanente
MRI Technologist II - 20 hours,"Walnut Creek, California",37.9020731,-122.0618702,Kaiser Permanente
Optometrist-PD,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Administrative Coordinator III,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Emergency Room RN - Clinic,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Sp Unit Staff RN - Hospital,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
"Case Manager Utilization RN, 40/hr Mid-Shift","San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Emergency Room RN - Clinic,"Baldwin Park, California",34.0854739,-117.9611761,Kaiser Permanente
"Data Reporting and Analytics Consultant III, Programming - SAS, Python, DataBricks","Oakland, California",37.8044,-122.2712,Kaiser Permanente
Human Resources Strategy Design Consultant IV,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Administrative Coordinator III,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Staff Educator RN,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Certified Nurse Assistant II - Acute,"Hillsboro, Oregon",45.5228939,-122.989827,Kaiser Permanente
Replacement Pool Phlebotomist--servicing Mid Valley Service Area,"Salem, Oregon",44.9429,-123.0351,Kaiser Permanente
Replacement Pool Phlebotomist supporting the Mid-Valley Service Area,"Salem, Oregon",44.9429,-123.0351,Kaiser Permanente
Optometrist-Per Diem,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Transportation Aide (Bilingual),"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Transportation Aide (Bilingual),"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Transportation Aide (Bilingual),"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
"Lab Assistant II (Part-time Evening shift in Garden Grove, CA)","Garden Grove, California",33.7746292,-117.9463717,Kaiser Permanente
Medical Assistant,"Hyattsville, Maryland",38.9529442,-76.9408647,Kaiser Permanente
Monitor Technician,"Fresno, California",36.7394421,-119.78483,Kaiser Permanente
"Lead CDU RN, Part Time, Caton Hill MOB","Woodbridge, Virginia",52.0941323,1.3199383,Kaiser Permanente
Stationary Engineer,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Emergency Room RN - FT Days Baldwin Park,"Baldwin Park, California",34.0854739,-117.9611761,Kaiser Permanente
Physician Assistant,"San Rafael, California",37.9747795,-122.5316686,Kaiser Permanente
Lic. Masters Mental Health Prof. Adult Team,"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Level III Staff RN - (Bilingual Spanish)  Riverside - Nephrology - Per Diem (0) - 8:30 AM - 5:00 PM,"Moreno Valley, California",33.937517,-117.2305944,Kaiser Permanente
"RN, MPU, KWMC (40 hrs, day)","Hillsboro, Oregon",45.5228939,-122.989827,Kaiser Permanente
Service Unit Department Manager RN - Gastroenterology and Outpatient Procedure- Santa Clara,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Storeroom Clerk,"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Service Representative-Ambulatory Services,"Ventura, California",34.3435092,-119.2956042,Kaiser Permanente
Service Representative-Ambulatory Services,"Ventura, California",34.3435092,-119.2956042,Kaiser Permanente
Medical Assistant- Primary Care Float (On-Call) East Service Area,"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Surgical Scheduling Clerk (Bilingual),"Harbor City, California",33.7911012,-118.3012604,Kaiser Permanente
Food Service Worker I,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Outpatient Pharmacy Technician (On-Call),"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Case Manager Specialist RN,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Bone Density Analysis Tech - Part Time - San Diego,"San Diego, California",32.7174202,-117.1627728,Kaiser Permanente
Diagnostic Medical Sonographer- Full Time - Victorville,"Victorville, California",34.5361067,-117.2911565,Kaiser Permanente
Staff Registered Nurse III Day Surgery,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Staff Registered Nurse III Day Surgery,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Staff Registered Nurse II - Virtual Care/Telehealth,"Atlanta, Georgia",33.7489924,-84.3902644,Kaiser Permanente
Occupational Therapist Home Health,"Martinez, California",38.0138934,-122.1338674,Kaiser Permanente
Medical Laboratory Scientist (ASCP),"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
Laboratory Assistant,"Seattle, Washington",47.6038321,-122.330062,Kaiser Permanente
"RN Care Coordinator, Inpatient (PT, Days)","Vancouver, Washington",49.2608724,-123.113952,Kaiser Permanente
Sr Physical Therapist,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Home Health Occupational Therapist,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Home Health Occupational Therapist,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
Home Health Physical Therapist,"Fontana, California",34.0922947,-117.43433,Kaiser Permanente
"RN SNF Care Coordinator (FT, Days)","Beaverton, Oregon",45.4871723,-122.80378,Kaiser Permanente
Staff Nurse RN - Primary Care (20 hours Olympia),"Olympia, Washington",47.0451022,-122.8950075,Kaiser Permanente
Commercial Business Performance Managerial Consultant IV,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Sterile Processing Technician II Certified - On Call,"Richmond, California",37.9358,-122.3478,Kaiser Permanente
Laboratory Microbiology Assistant II,"Tucker, Georgia",33.8532701,-84.2200729,Kaiser Permanente
Data Reporting Analyst -  SQL/Crystal Reports/Clarity/PowerApps/VBA,"Pasadena, California",34.1476452,-118.1444779,Kaiser Permanente
Medical Assistant,"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
Project Manager II,"Modesto, California",37.6390972,-120.9968782,Kaiser Permanente
Data Analysis MS Access Consultant IV,"Pasadena, California",34.1476452,-118.1444779,Kaiser Permanente
Pharmacy Intern (On-Call),"Redwood City, California",37.4863239,-122.232523,Kaiser Permanente
Pharmacy Intern,"San Bruno, California",37.6261715,-122.433243,Kaiser Permanente
Licensed Mental Health Professional or LMFT / Maui / Hybrid / $10k sign on,"Wailuku, Hawaii",20.8911,-156.5046,Kaiser Permanente
Specialty Unit Staff RN - LABOR & DELIVERY,"Ontario, California",34.065846,-117.6484304,Kaiser Permanente
Administrative Coordinator III,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Registered Nurse Per Diem Infusion Spokane,"Spokane, Washington",47.6571934,-117.42351,Kaiser Permanente
"Senior IT Consultant - Risk Adjustment, CMS, MAOs, ACA, ESBRs","Pleasanton, California",37.6624312,-121.8746789,Kaiser Permanente
"RN Float, Inpatient, Med/Surg, Sunnyside MC (24 HR Days)","Clackamas, Oregon",45.4146516,-122.5532561,Kaiser Permanente
Outpatient Infusion Pharmacist - PD,"Panorama City, California",34.2242902,-118.4453745,Kaiser Permanente
Staff Nurse II SH - Inpatient Psychiatry,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Staff Nurse II SH - Inpatient Psychiatry,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
"Ambulatory Care Pharmacist, Oncology","Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Cardiac Device Nurse Bellevue (Device Experience Required),"Bellevue, Washington",47.6144219,-122.192337,Kaiser Permanente
Staff RN - Hospital (Pediatrics ),"Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
"Aide, Housekeeping - Hillsboro, Oregon","Hillsboro, Oregon",45.5228939,-122.989827,Kaiser Permanente
Patient Care Technician,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
RN - Oncology Infusion (Interstate / 30 Hours),"Portland, Oregon",45.5051,-122.675,Kaiser Permanente
"Case Management Utilization RN, 20/hr Mid-Shift","Anaheim, California",33.8347516,-117.911732,Kaiser Permanente
Pharmacy Intern,"Vacaville, California",38.3565773,-121.9877444,Kaiser Permanente
Uncertified Ophthalmic Assistant,"Lakewood, Colorado",39.7085736,-105.0846694,Kaiser Permanente
"Speech Therapist II, Acute Rehab, 40 Hours","Vallejo, California",38.1041,-122.2566,Kaiser Permanente
Staff RN - Hospital - Med/Surg/Tele - Per Diem Day,"Downey, California",33.9404441,-118.1292846,Kaiser Permanente
"Government Relations Consultant VI, Lobbying","Washington D.C., District of Columbia",38.8950368,-77.0365427,Kaiser Permanente
Administrative Coordinator III,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Nurse Practitioner II - Perinatology - Santa Clara,"Santa Clara, California",37.3541132,-121.955174,Kaiser Permanente
Stationary Engineer,"San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Nursing House Supervisor,"Fremont, California",37.5482697,-121.988571,Kaiser Permanente
Medical Social Worker II - Grade 10,"Oakland, California",37.8044,-122.2712,Kaiser Permanente
Pharmacy Intern (On-Call),"Richmond, California",37.9358,-122.3478,Kaiser Permanente
Financial Counselor,"Riverside, California",33.9533546,-117.3961623,Kaiser Permanente
Pharmacy Clerk (On-Call),"Milpitas, California",37.4332273,-121.8989248,Kaiser Permanente
Psychologist / Hilo / FT Hybrid / $10k Sign On,"Hilo, Hawaii",19.7073734,-155.08158,Kaiser Permanente
Kitchen Worker,"Los Angeles, California",34.0536909,-118.242766,Kaiser Permanente
Anesthesia Technical Assistant -On-Call (Sacramento),"Sacramento, California",38.5810606,-121.493895,Kaiser Permanente
Lead Imaging Technologist,"Duluth, Georgia",34.0029,-84.1446,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
Summer Intern,"Woodland Hills, California",34.1684364,-118.6058382,Kaiser Permanente
"Storekeeper II, On Call","San Francisco, California",37.7790262,-122.419906,Kaiser Permanente
Pharmacy Technician I,"Austell, Georgia",33.8126059,-84.6343783,Kaiser Permanente
